ID,Date,Username,Tweet,ReplyCount,RetweetCount,LikeCount,QuoteCount,cleanTweet,year,month,day,hour,Subjectivity,Polarity,SentimentResult1,SentimentResult2,label1,label2,label3,label4
1638329621581275136,2023-03-21 23:59:55+00:00,yxwec12342,"of the Atlantic, or only near the Atla #æ¨ç¹è´¦å· more to me than the greenness or th ",0,0,0,0,of the atlant or onli near the atla more to me than the green or th,2023,3,21,23,0.4,0.1333333333,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1638329564312264704,2023-03-21 23:59:41+00:00,xfcfc69355," Copilot has actually been useful for me though, it routinely writes chunks of code for me that require little to no modification. I haven't figured out how to leverage ChatGPT effectively yet.",0,0,2,0,copilot ha actual been use for me though it routin write chunk of code for me that requir littl to no modif i haven t figur out how to leverag chatgpt effect yet,2023,3,21,23,0.1,0,Neutral,Negative,Negative,Negative,Neutral,Neutral
1638329556074475521,2023-03-21 23:59:39+00:00,cjxpg99081,i had chatgpt analyze my ocs after askin a bunch of questions and it was really fun in the moment but i literally have nothing i can do with all these answers besides think about them bc who wants to hear character analysis on characters you cant even see,2,0,0,0,i had chatgpt analyz my oc after askin a bunch of question and it wa realli fun in the moment but i liter have noth i can do with all these answer besid think about them bc who want to hear charact analysi on charact you cant even see,2023,3,21,23,0.2,0.3,Positive,Negative,Negative,Positive,Negative,Positive
1638329552861556740,2023-03-21 23:59:38+00:00,kkcju69991," You are a smart guy Mark.  You should be able to recognize ChatGPT is brought to you by the same MONORAIL! salesmen who sold you Crypto, self driving, and NFTs. The technology is not what they claim it is.  You can tell by how the use case is ""writing"" poems abt your pets.",0,0,0,0,you are a smart guy mark you should be abl to recogn chatgpt is brought to you by the same monorail salesman who sold you crypto self drive and nfts the technolog is not what they claim it is you can tell by how the use case is write poem abt your pet,2023,3,21,23,0.3839285714,0.1071428571,Positive,Neutral,Negative,Neutral,Neutral,Positive
1638329474629640195,2023-03-21 23:59:20+00:00,vyuxa61547,"Thanks to ChatGPT, we are one step closer to getting the Giuseppi Stromboli and the Briefcase of Meatballs rewrite we deserve ",0,1,0,0,thank to chatgpt we are one step closer to get the giuseppi stromboli and the briefcas of meatbal rewrit we deserv,2023,3,21,23,0,0,Neutral,Positive,Positive,Positive,Positive,Positive
1638329441544708097,2023-03-21 23:59:12+00:00,ohbpz29878,"Heard someone say âChatGPT is already replacing software engineers.â 

Iâm tired of yâall.",2,0,4,0,heard someon say chatgpt is alreadi replac softwar engin im tire of yall,2023,3,21,23,0,0,Neutral,Negative,Positive,Negative,Negative,Positive
1638329420816457730,2023-03-21 23:59:07+00:00,muleb09161," Unlikely, ChatGPT is usually coherent and well-constructed",0,0,0,0,unlik chatgpt is usual coher and well construct,2023,3,21,23,0.25,-0.25,Negative,Neutral,Negative,Negative,Negative,Negative
1638329400960892928,2023-03-21 23:59:02+00:00,bwgto94705,"There is going to be a anti-GPT movement.

#ChatGPT",1,0,0,0,there is go to be a anti gpt movement,2023,3,21,23,0,0,Neutral,Negative,Negative,Negative,Negative,Negative
1638329399798906882,2023-03-21 23:59:02+00:00,xcphj10751,"I am enamored by ChatGPT. It changed in one day what I can do, what I can know",1,0,0,0,i am enamor by chatgpt it chang in one day what i can do what i can know,2023,3,21,23,0,0,Neutral,Positive,Positive,Positive,Postive,Positive
1638329361022476289,2023-03-21 23:58:53+00:00,axbwk94624,"Hi for anyone having issues with #Chatgpthistory here is a fix that temporarily will restore it for you

1) Open the ChatGPT app on Chrome

2) Click on three dots at top right then on More tools then developer tools as below",3,0,8,0,hi for anyon have issu with here is a fix that temporarili will restor it for you 1 open the chatgpt app on chrome 2 click on three dot at top right then on more tool then develop tool a below,2023,3,21,23,0.5089285714,0.3214285714,Positive,Neutral,Positive,Neutral,Neutral,Neutral
1638329336829984768,2023-03-21 23:58:47+00:00,ibjwq58890,Finally tried ChatGPT. I was disappointed in how unconvincing it was on LORs.,1,0,0,0,final tri chatgpt i wa disappoint in how unconvinc it wa on lor,2023,3,21,23,1,0,Neutral,Negative,Negative,Negative,Negative,Negative
1638329289929097216,2023-03-21 23:58:36+00:00,hmhuq80017,Congratulations ð,0,0,0,0,congratul,2023,3,21,23,0,0,Neutral,Positive,Neutral,Positive,Postive,Postive
1638329252729745413,2023-03-21 23:58:27+00:00,rwgiu22499,Time to gaslight chatgpt,0,0,3,0,time to gaslight chatgpt,2023,3,21,23,0,0,Neutral,Negative,Negative,Neutral,Neutral,Negative
1638329243255054338,2023-03-21 23:58:24+00:00,vuwpi39741,"  nice, I didnt see this list before. Is there anyway to intercept the response, to give a hint? Very much like building a consultant to chatgpt.",0,0,0,0,nice i didnt see this list befor is there anyway to intercept the respons to give a hint veri much like build a consult to chatgpt,2023,3,21,23,0.6,0.4,Positive,Neutral,Positive,Neutral,Neutral,Neutral
1638329191224492032,2023-03-21 23:58:12+00:00,bxiow43283,A Brave New World: ChatGPTâs Potential To Reshape The Financial Services Landscape,1,0,0,0,a brave new world chatgpt potenti to reshap the financi servic landscap,2023,3,21,23,0.7272727273,0.4681818182,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1638329184173826056,2023-03-21 23:58:10+00:00,dnaao89916,Then I started to join the sBTC working group meeting after reading  sBTC newsletter and get in touch with  the Tech Lead from  . Since then I started to put effort to contribute in my free time and itâs amazing.,1,0,5,0,then i start to join the sbtc work group meet after read sbtc newslett and get in touch with the tech lead from sinc then i start to put effort to contribut in my free time and it amaz,2023,3,21,23,0.8,0.4,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1638329116775657475,2023-03-21 23:57:54+00:00,vhzmi59414,"Also I had to fight to get ChatGPT to give an answer close to this. Bard doesn't hesitate. It even gives what it describes as it's own choice of most interesting, though at least one of the facts seems to be incorrect, and the other doesn't seem that interesting... ",1,0,0,0,also i had to fight to get chatgpt to give an answer close to this bard doesn t hesit it even give what it describ a it s own choic of most interest though at least one of the fact seem to be incorrect and the other doesn t seem that interest,2023,3,21,23,0.56875,0.16875,Positive,Negative,Negative,Neutral,Negative,Negative
1638329103169486850,2023-03-21 23:57:51+00:00,evtpb31968,to listen attentively and to sym #æ¨ç¹è´¦å· a very good young,0,0,0,0,to listen attent and to sym a veri good young,2023,3,21,23,0.5,0.4,Positive,Neutral,Positive,Neutral,Neutral,Neutral
1638328982751019010,2023-03-21 23:57:22+00:00,agoiq09058,Fair enough ChatGPT,2,1,3,0,fair enough chatgpt,2023,3,21,23,0.7,0.35,Positive,Neutral,Neutral,Positive,Neutral,Neutral
1638328972365758465,2023-03-21 23:57:20+00:00,znzjn68852,i guess he hasn't been allowed in to CHATGPT yet. these would sound so much more gullible.,0,0,0,0,i guess he hasn t been allow in to chatgpt yet these would sound so much more gullibl,2023,3,21,23,0.45,0.45,Positive,Negative,Negative,Negative,Positive,Positive
1638328923099463680,2023-03-21 23:57:08+00:00,wckdq44224,"He'll have to abandon it, if Annie Quincy really isâone of those girls.",0,0,0,0,he ll have to abandon it if anni quinci realli ison of those girl,2023,3,21,23,0,0,Neutral,Negative,Negative,Negative,Negative,Neutral
1638328913297559555,2023-03-21 23:57:06+00:00,wodfn43471,"Just because AI will know all the answers, doesn't mean humans will stop asking questions. It's all about coexisting and knowing how to ask the right ones. #AI #ChatGPT ð¤",1,0,0,0,just becaus ai will know all the answer doesn t mean human will stop ask question it s all about coexist and know how to ask the right one,2023,3,21,23,0.4410714286,-0.008928571429,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
1638328815331024898,2023-03-21 23:56:42+00:00,ajeqs23064,"#chatgpt picks favorite songs from #Lollapalooza2023  artists. 

Here's a list of songs from the artists you mentioned that you may enjoy:

NewJeans: ""Denim Dreams""
Tems: ""Mr Rebel""
Rina Sawayama: ""XS""
Lil Yachty: ""One Night""
Morgan Wade: ""Wilder Days""
Lainey Wilson: ""Things aâ¦",1,0,2,0,pick favorit song from artist here s a list of song from the artist you mention that you may enjoy newjean denim dream tem mr rebel rina sawayama x lil yachti one night morgan wade wilder day lainey wilson thing a,2023,3,21,23,0.5,0.4,Positive,Neutral,Neutral,Neutral,Positive,Positive
1638328814936760320,2023-03-21 23:56:42+00:00,mxrwy76907,Will ChatGPT force English teachers to answer the question that math teachers have been getting for decades which is when will we ever need this stuff in real life?,1,0,1,0,will chatgpt forc english teacher to answer the question that math teacher have been get for decad which is when will we ever need this stuff in real life,2023,3,21,23,0.15,0.1,Positive,Neutral,Neutral,Neutral,Positive,Positive
1638328814404083712,2023-03-21 23:56:42+00:00,snats28961,"combining threads for the day, this bout of playing with ChatGPT is based on hearing Laurie Anderson just be uncomplicatedly excited about the creative possibilities of playing with AI language bots, and having my priors absolutely blown away",1,0,0,0,combin thread for the day this bout of play with chatgpt is base on hear lauri anderson just be uncompl excit about the creativ possibl of play with ai languag bot and have my prior absolut blown away,2023,3,21,23,0.5,-0.4,Negative,Neutral,Neutral,Neutral,Neutral,Negative
1638328798436290562,2023-03-21 23:56:38+00:00,qgfoc82270,"Thanks for joining tonight's #edchat on ChatGPT, artificial intelligence, &amp; whether these tools r part of a paradigm shift in education. The issues r both challenging &amp; exciting, &amp; will affect teaching &amp; learning. Thanks to co-moderators   ",1,0,1,0,thank for join tonight s on chatgpt artifici intellig amp whether these tool r part of a paradigm shift in educ the issu r both challeng amp excit amp will affect teach amp learn thank to co moder,2023,3,21,23,0,0,Neutral,Positive,Neutral,Positive,Postive,Positive
1638328765490012160,2023-03-21 23:56:31+00:00,pwowa50972,I wish this was the real response from chat GPT,1,0,37,0,i wish this wa the real respons from chat gpt,2023,3,21,23,0.3,0.2,Positive,Negative,Negative,Negative,Negative,Negative
1638328757902536705,2023-03-21 23:56:29+00:00,smlhq24041,"I gave ChatGPT access to my Social Security Number, my mothers maiden name and the street I grew up on and asked it to ruin my life. 

Here's what happened next.

ð§µð",2,0,2,0,i gave chatgpt access to my social secur number my mother maiden name and the street i grew up on and ask it to ruin my life here s what happen next,2023,3,21,23,0.03333333333,0.01666666667,Positive,Negative,Negative,Negative,Negative,Negative
1638328742379417600,2023-03-21 23:56:25+00:00,dnaao89916,"Our telegram in  started to get more and more members and discussion started to popped up organically. Then Iâm thinking I have this software engineering skills that I employed at work, why not I contribute to Stacks in technical capacity?",1,0,2,0,our telegram in start to get more and more member and discus start to pop up organ then im think i have this softwar engin skill that i employ at work whi not i contribut to stack in technic capac,2023,3,21,23,0.5,0.5,Positive,Neutral,Positive,Positive,Neutral,Neutral
1638328733978308609,2023-03-21 23:56:23+00:00,xvjhs22144,"I mean ... It's not wrong.

#ChatGPT #openai #Vegan ",2,0,0,0,i mean it s not wrong,2023,3,21,23,0.79375,-0.03125,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
1638328695017586688,2023-03-21 23:56:14+00:00,uwhhl68996,Damn,0,0,0,0,damn,2023,3,21,23,0,0,Neutral,Negative,Negative,Negative,Negative,Negative
1638328654873923584,2023-03-21 23:56:04+00:00,nntlt27939,"Be ready to enter the world of #AI + #Crypto = $GPT4 

ð

  #airdrop #NFT $BONK $BLUR $APT $GPT4 $DOGE $USDT $BNB  $CFX #ChatGPT $SSV $ARB #OpenAIChatGPT $APE $MATIC  $HEX",12,0,2,0,be readi to enter the world of gpt4 bonk blur apt gpt4 doge usdt bnb cfx ssv arb ape matic hex,2023,3,21,23,1,0.6,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1638328642383036418,2023-03-21 23:56:01+00:00,uswxt48964,"Google opens early access to its #ChatGPT rival Bard â here are our first impressions 

 ",1,0,3,0,googl open earli access to it rival bard here are our first impress,2023,3,21,23,0.4166666667,0.125,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1638328550343286785,2023-03-21 23:55:39+00:00,bacpj44915,"OpenAI: ChatGPT Could Disrupt 19% of Jobs, Is Yours on the List?",1,0,0,0,openai chatgpt could disrupt 19 of job is your on the list,2023,3,21,23,0,0,Neutral,Negative,Negative,Negative,Negative,Negative
1638328536510640128,2023-03-21 23:55:36+00:00,klvgv06047,"#polycrisis Greets Toby! arguably, unless Chatgpt directed 2 solving, not exacerbating unprecedented crises inc global warming, its merely capitalism @ most reckless? given imperative 4 effective governance, which depends on shared sense of reality, its especially problematic?",0,0,0,0,greet tobi arguabl unless chatgpt direct 2 solv not exacerb unpreced crise inc global warm it mere capit most reckless given imper 4 effect govern which depend on share sen of realiti it especi problemat,2023,3,21,23,0.4,0.14,Positive,Negative,Negative,Negative,Negative,Negative
1638328535432695810,2023-03-21 23:55:36+00:00,ayidw11587,sleep well my beautiful â¥ï¸ð,0,0,0,0,sleep well my beauti,2023,3,21,23,0,0,Neutral,Positive,Positive,Positive,Positive,Neutral
1638328523969507328,2023-03-21 23:55:33+00:00,dlsxg35073,"In laughter and in creativity,
A symbiosis, then, of mind and heart,
This ChatGPT shall inspire works of art,
And fuel the engine of discovery. 6/x",1,0,1,0,in laughter and in creativ a symbiosi then of mind and heart this chatgpt shall inspir work of art and fuel the engin of discoveri 6 x,2023,3,21,23,0,0,Neutral,Positive,Positive,Positive,Positive,Neutral
1638328492206219264,2023-03-21 23:55:25+00:00,rposw28121,One thing I've noticed with  Bard is that they have character limits where  Chat GPT-4 appears to not have any (or if it does it's one I've not been able to hit yet).,0,0,0,0,one thing i ve notic with bard is that they have charact limit where chat gpt 4 appear to not have ani or if it doe it s one i ve not been abl to hit yet,2023,3,21,23,0,0,Neutral,Negative,Neutral,Positive,Negative,Neutral
1638328474795376641,2023-03-21 23:55:21+00:00,ajyjg44425,Just got the green light from  to pilot  #BardAI . Think #ChatGPT -- but the Google version. Here we go!,0,0,0,0,just got the green light from to pilot think but the googl version here we go,2023,3,21,23,0.5,0.1,Positive,Neutral,Positive,Neutral,Positive,Positive
1638328382265098241,2023-03-21 23:54:59+00:00,mpxux80166,"#Google's new #AI bot Bard just debuted and it's already warning about its creator's 'monopoly' over #ads
   #ChatGPT           #seotips",1,1,1,0,s new bot bard just debut and it s alreadi warn about it creator s monopoli over,2023,3,21,23,0.4545454545,0.1363636364,Positive,Negative,Positive,Negative,Negative,Positive
1638328371783565313,2023-03-21 23:54:57+00:00,nxbca15871,"ICYMI: Build a workflow that watches for failed tasks in  send the error to ChatGPT, send info on the failure + corrected query to Slack.

",1,0,3,0,icymi build a workflow that watch for fail task in send the error to chatgpt send info on the failur correct queri to slack,2023,3,21,23,0.3,-0.5,Negative,Neutral,Negative,Neutral,Neutral,Neutral
1638328361238818820,2023-03-21 23:54:54+00:00,dnaao89916,"Then since then I active in  and organize  Hundreds articles, and dozens of meetup laters is today. Where Stacks is more adopted and people started to notice how legit is this blockchain.",1,0,2,0,then sinc then i activ in and organ hundr articl and dozen of meetup later is today where stack is more adopt and peopl start to notic how legit is this blockchain,2023,3,21,23,0.25,0.25,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1638328355694018561,2023-03-21 23:54:53+00:00,hvtub13857,This is reassuring. ChatGPT almost feels cozy now. It is a fool like the rest of us.,0,0,4,0,this is reassur chatgpt almost feel cozi now it is a fool like the rest of u,2023,3,21,23,0,0,Neutral,Negative,Negative,Negative,Negative,Negative
1638328349058637824,2023-03-21 23:54:51+00:00,dwjxu80002,"Okay, so idk how to read ioctls for a driver where do I go to learn about ChatGPT is still down for ya boy.",1,0,0,0,okay so idk how to read ioctl for a driver where do i go to learn about chatgpt is still down for ya boy,2023,3,21,23,0.3944444444,0.1722222222,Positive,Negative,Positive,Positive,Negative,Negative
1638328258323259394,2023-03-21 23:54:30+00:00,srqty54626,I asked Chat GPT to write a poem about milking cows as if it were Donald Trump and hereâs its response in less than 3 seconds,1,0,9,0,i ask chat gpt to write a poem about milk cow a if it were donald trump and here it respons in le than 3 second,2023,3,21,23,0.08333333333,-0.06666666667,Negative,Neutral,Neutral,Positive,Neutral,Neutral
1638328256968654851,2023-03-21 23:54:29+00:00,xlpew08786,It seems that #ChatGPT understands humor better than #Bard.,1,0,0,0,it seem that understand humor better than,2023,3,21,23,0.5,0.5,Positive,Neutral,Positive,Positive,Positive,Positive
1638328242682703874,2023-03-21 23:54:26+00:00,uyrgi20228,"Check out this analysis of the legal implications of generative #AI in #manufacturing from my colleague John Lanza. From digital twins to #ChatGPT, the way we model the infrastructure and devices of tomorrow is rapidly changing. #technology ",1,0,0,0,check out this analysi of the legal implic of generat in from my colleagu john lanza from digit twin to the way we model the infrastructur and devic of tomorrow is rapid chang,2023,3,21,23,0.2,0.2,Positive,Neutral,Neutral,Positive,Neutral,Positive
1638328235821006848,2023-03-21 23:54:24+00:00,jrweq99733,"our losses, we keep count. A few notices o #æ¨ç¹è´¦å· a very valuable one too, infinitely more effectiv ",0,0,0,0,our loss we keep count a few notic o a veri valuabl one too infinit more effectiv,2023,3,21,23,0.3,0.15,Positive,Neutral,Neutral,Positive,Neutral,Neutral
1638328151968292864,2023-03-21 23:54:04+00:00,mmdii96845,I see that ChatGPT isnât the only woke leftist technocrat honeypot in town.,1,0,0,0,i see that chatgpt isnt the onli woke leftist technocrat honeypot in town,2023,3,21,23,0.6,-0.05,Negative,Neutral,Negative,Negative,Neutral,Neutral
1638328099497553923,2023-03-21 23:53:52+00:00,pwguj42524,They donât have any choice. Chatgpt will put their search engine out business ð¤£ð¤£ð¤£.  #Palantir and itâs like are ahead of the game,0,0,2,0,they dont have ani choic chatgpt will put their search engin out busi and it like are ahead of the game,2023,3,21,23,0.4,-0.4,Negative,Neutral,Neutral,Negative,Neutral,Neutral